YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,RH2M,PS,WS10M,ALLSKY_KT,PRECTOTCORR,SZA
2019,1,7,12,447.8,20.95,36.29,99.44,3.93,0.51,0.0,51.71
2019,1,7,13,391.95,21.34,34.1,99.38,3.79,0.5,0.0,55.84
2019,1,7,14,312.4,20.87,34.25,99.35,3.71,0.49,0.0,63.08
2019,1,7,15,183.38,19.41,40.51,99.35,2.66,0.43,0.0,72.5
2019,1,7,16,42.83,15.51,53.72,99.35,2.6,0.26,0.0,83.31
2019,1,7,17,0.0,13.03,56.86,99.38,3.07,-999.0,0.0,90.0
2019,1,7,18,0.0,12.08,59.32,99.43,3.25,-999.0,0.0,90.0
2019,1,7,19,0.0,11.29,61.93,99.47,3.3,-999.0,0.0,90.0
2019,1,7,20,0.0,10.64,65.56,99.5,3.37,-999.0,0.0,90.0
2019,1,7,21,0.0,10.15,69.14,99.5,3.45,-999.0,0.0,90.0
2019,1,7,22,0.0,9.59,73.25,99.5,3.5,-999.0,0.0,90.0
2019,1,7,23,0.0,8.93,77.26,99.48,3.41,-999.0,0.0,90.0
2019,1,8,0,0.0,8.15,81.58,99.45,3.2,-999.0,0.0,90.0
2019,1,8,1,0.0,7.52,84.98,99.42,3.04,-999.0,0.0,90.0
2019,1,8,2,0.0,6.94,88.36,99.35,2.91,-999.0,0.0,90.0
2019,1,8,3,0.0,6.37,91.88,99.32,2.94,-999.0,0.0,90.0
2019,1,8,4,0.0,6.3,92.33,99.33,2.96,-999.0,0.0,90.0
2019,1,8,5,0.0,6.02,94.0,99.37,3.09,-999.0,0.0,90.0
2019,1,8,6,0.0,6.5,90.66,99.42,3.13,-999.0,0.0,90.0
2019,1,8,7,64.47,8.76,77.31,99.48,4.17,0.32,0.0,81.65
2019,1,8,8,192.6,10.36,69.46,99.53,3.57,0.42,0.0,71.18
2019,1,8,9,343.65,12.35,61.76,99.52,2.77,0.52,0.0,61.97
2019,1,8,10,472.67,16.77,45.55,99.46,4.09,0.59,0.0,55.04
2019,1,8,11,550.83,19.8,35.55,99.32,4.66,0.63,0.0,51.34
2019,1,8,12,527.28,21.03,31.38,99.18,3.89,0.6,0.0,51.57
2019,1,8,13,494.05,21.62,28.95,99.09,3.92,0.62,0.0,55.68
2019,1,8,14,371.05,21.46,28.1,99.03,4.17,0.58,0.0,62.92
2019,1,8,15,211.4,20.22,31.93,99.02,3.53,0.5,0.0,72.34
2019,1,8,16,56.65,15.86,46.75,99.04,2.97,0.34,0.0,83.14
2019,1,8,17,0.0,13.07,50.66,99.1,3.55,-999.0,0.0,90.0
2019,1,8,18,0.0,12.27,51.54,99.15,3.64,-999.0,0.0,90.0
2019,1,8,19,0.0,11.57,52.6,99.19,3.73,-999.0,0.0,90.0
2019,1,8,20,0.0,11.01,53.28,99.23,3.88,-999.0,0.0,90.0
2019,1,8,21,0.0,10.49,54.17,99.24,4.01,-999.0,0.0,90.0
2019,1,8,22,0.0,9.86,55.71,99.24,4.0,-999.0,0.0,90.0
2019,1,8,23,0.0,9.17,57.53,99.22,3.91,-999.0,0.0,90.0
2019,1,9,0,0.0,8.52,59.11,99.22,3.82,-999.0,0.0,90.0
2019,1,9,1,0.0,8.0,60.35,99.21,3.87,-999.0,0.0,90.0
2019,1,9,2,0.0,7.54,61.65,99.18,3.91,-999.0,0.0,90.0
2019,1,9,3,0.0,6.96,63.32,99.14,3.77,-999.0,0.0,90.0
2019,1,9,4,0.0,6.48,64.64,99.16,3.79,-999.0,0.0,90.0
2019,1,9,5,0.0,6.03,65.87,99.2,3.75,-999.0,0.0,90.0
